start-date,end_date,task-id,status
1981-01-01,1981-02-01,WDE7VX3G6PU3BPQIX3B7DYGD,SUBMITTED
1981-02-01,1981-03-01,T77HQXENJAAE573E3CML65YV,SUBMITTED
1981-03-01,1981-04-01,3COIVB2ZYBS6NZ6PJHMETRJK,SUBMITTED
1981-04-01,1981-05-01,VDUKKHBZXB5FI2RTDV66LRYM,SUBMITTED
1981-05-01,1981-06-01,ZUWWGLSHP2LQ5FKQ2QLWIHCX,SUBMITTED
1981-06-01,1981-07-01,FPUI4STS7RCHQ26VNUSU75BR,SUBMITTED
1981-07-01,1981-08-01,EFW74X2Q2GXBUIKTMUUSIC4H,SUBMITTED
1981-08-01,1981-09-01,JX6NHSPWKV2ZGMO5CAKMIAY6,SUBMITTED
1981-09-01,1981-10-01,QJQ3YZP3WN7WN6PBCEO6OI7W,SUBMITTED
1981-10-01,1981-11-01,5ODESUTT4UEYVOHOANZDEPTH,SUBMITTED
1981-11-01,1981-12-01,JRXTOLFBPTOUOBICJ4AUIYTP,SUBMITTED
1981-12-01,1982-01-01,35WEGL7S7QOAUM33KDGRSURY,SUBMITTED
1982-01-01,1982-02-01,XQWS74CTNL5BNHSFBMV4KHME,SUBMITTED
1982-02-01,1982-03-01,R2LIB5LRJSSB5HWUQGULX3K3,SUBMITTED
1982-03-01,1982-04-01,A57C5H7PC5U5DWOBKC4OCNSS,SUBMITTED
1982-04-01,1982-05-01,7JPW7FHAZ76A52YHVJEXPT6L,SUBMITTED
1982-05-01,1982-06-01,JLMJXGLSQTRIJ4Z263D3CUI3,SUBMITTED
1982-06-01,1982-07-01,4R7OH7FOUBWHOH2UKA6W3HGZ,SUBMITTED
1982-07-01,1982-08-01,HNJR2GTAGHPFDGUF6M4TQWYV,SUBMITTED
1982-08-01,1982-09-01,FLRTMENIUHWSZCXDBWBSWTGD,SUBMITTED
1982-09-01,1982-10-01,YNO4HXSNBETEHWDY3LPJLZSI,SUBMITTED
1982-10-01,1982-11-01,Q7MQHWEEHI5PNMJIVKN6MHR5,SUBMITTED
1982-11-01,1982-12-01,6HG5OASGSGSZRONJGIZ6HDPJ,SUBMITTED
1982-12-01,1983-01-01,DSKW5V7T7BUNPCERSRRTXQFG,SUBMITTED
1983-01-01,1983-02-01,XQBVPWD3GU27MT7Z2TIMGBTM,SUBMITTED
1983-02-01,1983-03-01,6RQIYP4UP2UYKMGERJWXRTDV,SUBMITTED
1983-03-01,1983-04-01,BJ6H4R67PXB5ZIURNZ37XOBG,SUBMITTED
1983-04-01,1983-05-01,343DKLDOMHLGHZ5JYYZIGXXJ,SUBMITTED
1983-05-01,1983-06-01,VSIMJWFDPBD7YRDP4VTQUQKA,SUBMITTED
1983-06-01,1983-07-01,3WCTXIGDCTNQ2VR7BJQWO3KP,SUBMITTED
1983-07-01,1983-08-01,F7HRQB57NS4QVZU4PJRPTFX3,SUBMITTED
1983-08-01,1983-09-01,5UPWHMD2TI4LHL24EP3O67KR,SUBMITTED
1983-09-01,1983-10-01,TVVFOKK4GVBOXHAUUFQ673UX,SUBMITTED
1983-10-01,1983-11-01,5NUDLEMKHHHHLKY237L5WSTJ,SUBMITTED
1983-11-01,1983-12-01,TYU37J35T72AK4LONM2UZRDN,SUBMITTED
1983-12-01,1984-01-01,7BCEVT4HCJWL5LSLW5VGEYK3,SUBMITTED
1984-01-01,1984-02-01,6D7WVUKKJAQVLMHLKXB3DNGI,SUBMITTED
1984-02-01,1984-03-01,RNZBE4VX4RDFHDXK2UTJCW65,SUBMITTED
1984-03-01,1984-04-01,GAN3EJNY5EMS4PMGIIOGNHZR,SUBMITTED
1984-04-01,1984-05-01,QW2EAX45VBYJJKNBYEMPPPHH,SUBMITTED
1984-05-01,1984-06-01,BIOWUASBKX3VCLQZHYU4M7VR,SUBMITTED
1984-06-01,1984-07-01,YKAQYBOVWK6OD7XXIBVIF2YC,SUBMITTED
1984-07-01,1984-08-01,72I3IRJQZ7AUD6AB2UDOI7IX,SUBMITTED
1984-08-01,1984-09-01,DINLIABKJC3G54TI4MSD6KHK,SUBMITTED
1984-09-01,1984-10-01,QLKNMGTICSMVFYOHWVBEMPL6,SUBMITTED
1984-10-01,1984-11-01,ZNG3SACN4LUPZC25WWWSGSSO,SUBMITTED
1984-11-01,1984-12-01,NKDCLZYVZ7HLCYNZ3ZRCWQPJ,SUBMITTED
1984-12-01,1985-01-01,YGNKLL4SZWIO6HB6OERQIPK2,SUBMITTED
1985-01-01,1985-02-01,U4ZC7QBVYSKQIYKFU2NTEFZD,SUBMITTED
1985-02-01,1985-03-01,544HLRF7H7TF7J7KUZLDRC4L,SUBMITTED
1985-03-01,1985-04-01,ASJ27FNRAR73RA76TMTU4LN5,SUBMITTED
1985-04-01,1985-05-01,FNYKBGZDX3RAOMJND2RVGTLC,SUBMITTED
1985-05-01,1985-06-01,65PDV5W34WTSGXHQH2ROTFNN,SUBMITTED
1985-06-01,1985-07-01,62INU55CMLPDDOAEG2EGHZ5Y,SUBMITTED
1985-07-01,1985-08-01,J2EA6CW7U3ERYPUEN2VF3VOT,SUBMITTED
1985-08-01,1985-09-01,KEX2RYWGFUYOWIQGQCSW34OB,SUBMITTED
1985-09-01,1985-10-01,VDA4PCFJZ7PLHAMSLZZ6W6XE,SUBMITTED
1985-10-01,1985-11-01,JB55Q7PGPXLTEXTSYIRATYWD,SUBMITTED
1985-11-01,1985-12-01,NEUSGNZEGQZQBPHPFQQBIHU7,SUBMITTED
1985-12-01,1986-01-01,5BBK4OJ24AQSARQ3DSEOMDNS,SUBMITTED
1986-01-01,1986-02-01,AGMGKTG7MSJM63B5TYJ3TLMN,SUBMITTED
1986-02-01,1986-03-01,DODV6WP2BETPIIN6CQ4QVBYL,SUBMITTED
1986-03-01,1986-04-01,AMYK3TOUQSP7TWUPSK6BMS7J,SUBMITTED
1986-04-01,1986-05-01,VBD3CXIEMMYI5PHYZXFEUXHH,SUBMITTED
1986-05-01,1986-06-01,ZGYTEJI23PR3B7HKTQQZPW27,SUBMITTED
1986-06-01,1986-07-01,IZG7BOYDTMFGUW2VSTMHO3J6,SUBMITTED
1986-07-01,1986-08-01,7TFW27KMCPCPNFZOS5PQKULP,SUBMITTED
1986-08-01,1986-09-01,VKRO6HQDHOYUXWCBAAHG3V5O,SUBMITTED
1986-09-01,1986-10-01,SULBO4KNXKACP6F2QNIJMDGD,SUBMITTED
1986-10-01,1986-11-01,6XKP6UQ76CGY3HUPX73NBUL4,SUBMITTED
1986-11-01,1986-12-01,I7BLA72OANLQYHYPKVY7RNQM,SUBMITTED
1986-12-01,1987-01-01,HS47YF6JELPKFS4KT6OE5PCK,SUBMITTED
1987-01-01,1987-02-01,BNKZ3H2RK5XDGRBKXIDAUB4F,SUBMITTED
1987-02-01,1987-03-01,MMWKHL6RDOBUXSKGMXONLSHG,SUBMITTED
1987-03-01,1987-04-01,Y5EQC7HY2BQO7WVUOGTOEHXP,SUBMITTED
1987-04-01,1987-05-01,Y5NH7POV7NMPPUAQICGCDIM6,SUBMITTED
1987-05-01,1987-06-01,2D6ODFEYYMEI2WEXG2IQXWNL,SUBMITTED
1987-06-01,1987-07-01,KWOZPFLTRQGO6VDMHXCAZIKN,SUBMITTED
1987-07-01,1987-08-01,6TQ5MF3PR5VMSLNFGW7ILPGC,SUBMITTED
1987-08-01,1987-09-01,CNRMSCXZ362U6TZCEU7SKKLC,SUBMITTED
1987-09-01,1987-10-01,HXBGXSUQPZMHILRVGVND75UI,SUBMITTED
1987-10-01,1987-11-01,TE4IAV54PIY3G67GPK7DXPQ3,SUBMITTED
1987-11-01,1987-12-01,N2TPRWODKYNR22V5L2ZH3H7V,SUBMITTED
1987-12-01,1988-01-01,4YCXQGYCFC6WQXHLGT2CZVAN,SUBMITTED
1988-01-01,1988-02-01,J7FZ4YNHFILWYDFLFTTEOGUS,SUBMITTED
1988-02-01,1988-03-01,Q3MMIOUTDCDZXYC64APVGXEO,SUBMITTED
1988-03-01,1988-04-01,GHSFI6QTZPXCNMRDPXJCMGNV,SUBMITTED
1988-04-01,1988-05-01,K3ILQ7PL75OTISWCOIA6FGG5,SUBMITTED
1988-05-01,1988-06-01,HTCU2K4HTXOYAUIF3GZ5473U,SUBMITTED
1988-06-01,1988-07-01,SAWIZMZBYHTBPXJ7RVIECWV4,SUBMITTED
1988-07-01,1988-08-01,646Y3W4KGMMK3QCUCRRJWIB2,SUBMITTED
1988-08-01,1988-09-01,YJL4V2AQZFLRAZ3O7IYXQOXF,SUBMITTED
1988-09-01,1988-10-01,KZUFKF3PZ5RO4O7C2YLL5SDC,SUBMITTED
1988-10-01,1988-11-01,DUA3PMNIWCPBSL7DKWD3HTSR,SUBMITTED
1988-11-01,1988-12-01,E7IRGQKSTXQ3TGMT4GDYX6KN,SUBMITTED
1988-12-01,1989-01-01,JGVTHYOK7Y2RUR5SCMGXKXSC,SUBMITTED
1989-01-01,1989-02-01,VL4XAXQBRKN6O44IF257KXGA,SUBMITTED
1989-02-01,1989-03-01,AHHNPWDCYLXNPM7PPOBIE2OI,SUBMITTED
1989-03-01,1989-04-01,ECDTPXVA3CAZSM3LHW7YPB3I,SUBMITTED
1989-04-01,1989-05-01,5KCI7CCCYQNXBGSSBVKKTO2B,SUBMITTED
1989-05-01,1989-06-01,3LWNTZCNU62G3XOP2QLQPL2N,SUBMITTED
1989-06-01,1989-07-01,4CCR4PM236YZNWCT7PVFBJKQ,SUBMITTED
1989-07-01,1989-08-01,WHVN7GRXK3IVEOOJDCLSLRW4,SUBMITTED
1989-08-01,1989-09-01,JWQECNBXJRIGQYESE2GME6WY,SUBMITTED
1989-09-01,1989-10-01,DCPUGLNQDFTBDZ3R5MSPWGWZ,SUBMITTED
1989-10-01,1989-11-01,2D3U2EM3I7FF75SONEYBIQG6,SUBMITTED
1989-11-01,1989-12-01,QVDRSYFPJUMZQA7PDRXHICAB,SUBMITTED
1989-12-01,1990-01-01,6L6JBWN7HZOHKHQSYWDY5MXC,SUBMITTED
1990-01-01,1990-02-01,Y7KFIYT4YJZBY6O3OFHQ4YAN,SUBMITTED
1990-02-01,1990-03-01,MHSLR5SUBWTQPDEWOTR6MVCP,SUBMITTED
1990-03-01,1990-04-01,ZKELMETSCRNQC2N5QPJTSSKV,SUBMITTED
1990-04-01,1990-05-01,4J2KEFS4PF3SWWZW6LMIZGDA,SUBMITTED
1990-05-01,1990-06-01,UORW4KDP2PTIQHHR5BS6ZCSQ,SUBMITTED
1990-06-01,1990-07-01,PNWDONBWNE4PWOMTGZIM6HW3,SUBMITTED
1990-07-01,1990-08-01,R2SOISJFPTJASR7JQAOGLL2W,SUBMITTED
1990-08-01,1990-09-01,Z62BSEDPEDEDJN2SZEAVPV72,SUBMITTED
1990-09-01,1990-10-01,SUHQERRCRBSVWW2T4SONXQLJ,SUBMITTED
1990-10-01,1990-11-01,UFBMMVFCWYDNKVM6UQZAJWWC,SUBMITTED
1990-11-01,1990-12-01,CTRORMWXUTKHOJDVTGVE4ZZ2,SUBMITTED
1990-12-01,1991-01-01,L4TJ6UH4I7ZRRGHGDC3K2SWN,SUBMITTED
1991-01-01,1991-02-01,JJ7JKNAWUSWOSUXPKDL7C2SY,SUBMITTED
