start-date,end_date,task-id,status
1981-01-01,1981-02-01,CO7FZGKJGMLKGTRAB2DQQORR,SUBMITTED
1981-02-01,1981-03-01,R5C7LQAKUJXNUAWIUUJXFUHD,SUBMITTED
1981-03-01,1981-04-01,SLJTLYZLNVDB63ABWK6AVION,SUBMITTED
1981-04-01,1981-05-01,O4TXA3WW5LK5LYUAEZO5MSCW,SUBMITTED
1981-05-01,1981-06-01,XPUOIWKKU5JSWFHJS54YVRR7,SUBMITTED
1981-06-01,1981-07-01,IPY4XWP2GFXK72XIELAKITQL,SUBMITTED
1981-07-01,1981-08-01,TASV75XU76LCMGESBUGGW6L3,SUBMITTED
1981-08-01,1981-09-01,ZNVHZJ3AOG5CF6PIKE6MWVRF,SUBMITTED
1981-09-01,1981-10-01,2D2TJYBHSYRP6QOMCYZ7V7L2,SUBMITTED
1981-10-01,1981-11-01,EFTOKQVKVXIFW2LZIAOS3HJN,SUBMITTED
1981-11-01,1981-12-01,BPGQ5KWQXXV6VPYVN2Q6U2OS,SUBMITTED
1981-12-01,1982-01-01,YFMHDL2JOL7DCQXXFD3ZB7PU,SUBMITTED
1982-01-01,1982-02-01,JY7XUONNXZN2YHDGF23TOPK5,SUBMITTED
1982-02-01,1982-03-01,BOOCOM7SP346CAFFSM4ZEL74,SUBMITTED
1982-03-01,1982-04-01,SJ5EUDXSMGNCDDPYXJHTF3I2,SUBMITTED
1982-04-01,1982-05-01,KFNCQS2PI4V4GWFKRAVS7DPA,SUBMITTED
1982-05-01,1982-06-01,XVBJBAGQA5BRU66E3DQIN3C3,SUBMITTED
1982-06-01,1982-07-01,Q7ZCTF4664BGZ3VKWIP7WHO4,SUBMITTED
1982-07-01,1982-08-01,AJ4ZXQSQ5WVEOV3RO3IQLHME,SUBMITTED
1982-08-01,1982-09-01,PBRW7JT4K57YFQA64XOK455E,SUBMITTED
1982-09-01,1982-10-01,S4PICRXD2YBSFKBTBNT6IUFI,SUBMITTED
1982-10-01,1982-11-01,2Z2DIHZ6NRIYCKUMGTJI5WKR,SUBMITTED
1982-11-01,1982-12-01,INWBUMPYLWZJSXOSDAGBAQON,SUBMITTED
1982-12-01,1983-01-01,OL4YAB2LRQ3UXOMAX5FAI2CW,SUBMITTED
1983-01-01,1983-02-01,E4Q3YWRZDVC7WZESPLXNZP2A,SUBMITTED
1983-02-01,1983-03-01,TA2CZFYWL7DD472F6F7H5LMV,SUBMITTED
1983-03-01,1983-04-01,QRDZPABVBFTFANKXW2KKWBXR,SUBMITTED
1983-04-01,1983-05-01,QM3VWV34W5Y4KF3WM6NA2JCQ,SUBMITTED
1983-05-01,1983-06-01,45HE5VRE73J6IQSOLJR3TUJM,SUBMITTED
1983-06-01,1983-07-01,XUGDK6COONCGE2CEJE4DW4DT,SUBMITTED
